timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675976162148,1636,https://cert-api.w3schools.com/certifications-state,200,OK,Thread Group 1-1,text,true,,195,1640,1,1,https://cert-api.w3schools.com/certifications-state,1636,0,1009
1675976173572,3145,https://w3schools.com/,200,OK,Thread Group 1-1,text,true,,2238629,12006,1,1,https://www.w3schools.com:443/,952,0,718
1675976173572,952,https://w3schools.com/-0,301,Moved Permanently,Thread Group 1-1,text,true,,337,494,1,1,https://w3schools.com/,952,0,718
1675976174525,329,https://w3schools.com/-1,200,OK,Thread Group 1-1,text,true,,120394,502,1,1,https://www.w3schools.com:443/,265,0,202
1675976174953,60,https://w3schools.com/-2,200,OK,Thread Group 1-1,bin,true,,15889,513,1,1,https://www.w3schools.com:443/favicon.ico,60,0,0
1675976174953,262,https://w3schools.com/-3,200,OK,Thread Group 1-1,text,true,,64084,521,1,1,https://www.w3schools.com:443/lib/w3schools31.css,206,0,146
1675976174953,331,https://w3schools.com/-4,200,OK,Thread Group 1-1,text,true,,16231,530,1,1,https://cdn.snigelweb.com/adengine/w3schools.com/loader.js,329,0,271
1675976174955,214,https://w3schools.com/-5,200,OK,Thread Group 1-1,text,true,,3311,528,1,1,https://www.w3schools.com:443/lib/common-deps.js?v=1.0.0,214,0,155
1675976174957,221,https://w3schools.com/-6,200,OK,Thread Group 1-1,text,true,,9426,529,1,1,https://www.w3schools.com:443/lib/user-session.js?v=1.0.2,221,0,163
1675976174956,207,https://w3schools.com/-7,200,OK,Thread Group 1-1,text,true,,19145,529,1,1,https://www.w3schools.com:443/lib/my-learning.js?v=1.0.11,207,0,144
1675976175014,347,https://w3schools.com/-8,200,OK,Thread Group 1-1,bin,true,,209732,516,1,1,https://www.w3schools.com:443/codeeditor.gif,219,0,156
1675976175166,1172,https://w3schools.com/-9,200,OK,Thread Group 1-1,bin,true,,136529,517,1,1,https://www.w3schools.com:443/tryit/best2.gif,206,0,145
1675976175170,1419,https://w3schools.com/-10,200,OK,Thread Group 1-1,bin,true,,1235657,526,1,1,https://www.w3schools.com:443/spaces/dynamicspaces.gif,197,0,138
1675976175178,210,https://w3schools.com/-11,200,OK,Thread Group 1-1,bin,true,,21711,523,1,1,https://www.w3schools.com:443/how-spaces-works3.png,198,0,137
1675976175285,268,https://w3schools.com/-12,200,OK,Thread Group 1-1,bin,true,,41525,519,1,1,https://www.w3schools.com:443/myl-green-off.png,197,0,134
1675976175289,453,https://w3schools.com/-13,200,OK,Thread Group 1-1,text,true,,1189,534,1,1,https://www.w3schools.com:443/spaces/files/check3.db67d31e.svg,453,0,140
1675976175363,60,https://w3schools.com/-14,200,OK,Thread Group 1-1,bin,true,,13621,524,1,1,https://www.w3schools.com:443/images/colorpicker.png,60,0,0
1675976175388,59,https://w3schools.com/-15,200,OK,Thread Group 1-1,bin,true,,14050,523,1,1,https://www.w3schools.com:443/images/w3lynx_200.png,59,0,0
1675976175437,1280,https://w3schools.com/-16,200,OK,Thread Group 1-1,bin,true,,62188,521,1,1,https://www.w3schools.com:443/w3css_templates.jpg,475,0,0
1675976175448,1149,https://w3schools.com/-17,200,OK,Thread Group 1-1,text,true,,150967,2117,1,1,https://www.w3schools.com:443/howto/tryhow_js_slideshow_ifr.htm,94,0,0
1675976175448,94,https://w3schools.com/-0,200,OK,,text,true,,4007,535,0,0,https://www.w3schools.com:443/howto/tryhow_js_slideshow_ifr.htm,94,0,0
1675976175545,603,https://w3schools.com/-1,200,OK,ResDownload-Thread-6,bin,true,,52333,527,0,0,https://www.w3schools.com:443/howto/img_nature_wide.jpg,160,0,0
1675976175545,88,https://w3schools.com/-2,200,OK,ResDownload-Thread-6,bin,true,,33741,525,0,0,https://www.w3schools.com:443/howto/img_snow_wide.jpg,73,0,0
